step,reward,throughput,avg_speed,stops,waiting_time,queue_length
47,-0.04999999999999999,0.0,11.314132768474611,1.0,2.4705882352941178,1.0
48,-0.10000000000000003,1.0,11.705699943217972,2.0,2.888888888888889,3.0
49,0.0,0.0,11.819638935585548,1.0,2.736842105263158,1.0
50,-0.04999999999999993,1.0,12.100132417309464,1.0,3.1666666666666665,1.0
51,-0.07000000000000006,0.0,11.36711334738682,2.0,3.3684210526315788,2.0
52,-0.09999999999999998,0.0,11.78253885241826,2.0,3.7,2.0
53,-0.09999999999999998,0.0,11.94374722631629,2.0,4.0,2.0
54,-0.09999999999999998,0.0,12.029762520539194,2.0,3.9166666666666665,2.0
55,-0.10000000000000009,0.0,12.170402619607113,2.0,3.8518518518518516,2.0
56,-0.09999999999999987,0.0,12.634355467049298,2.0,4.071428571428571,2.0
57,-0.10000000000000009,0.0,12.672244594427221,2.0,4.428571428571429,2.0
58,-0.1200000000000001,0.0,12.120763050810776,3.0,5.037037037037037,3.0
59,-0.1499999999999999,0.0,11.836037048540822,3.0,5.392857142857143,3.0
60,-0.1499999999999999,0.0,11.653504959778278,3.0,5.928571428571429,3.0
61,-0.15000000000000013,0.0,11.769178190261444,3.0,6.464285714285714,3.0
62,-0.1499999999999999,0.0,11.781726505664581,3.0,7.2592592592592595,3.0
63,-0.16000000000000014,0.0,11.337956402275804,4.0,7.851851851851852,5.0
64,-0.19999999999999973,0.0,10.809155472816531,4.0,8.285714285714286,5.0
65,-0.10000000000000009,0.0,10.480442673731348,4.0,7.806451612903226,4.0
66,-0.2400000000000002,1.0,10.749789482114418,5.0,8.580645161290322,6.0
67,-0.1599999999999997,0.0,11.128500508055446,4.0,9.096774193548388,4.0
68,-0.20000000000000018,1.0,11.561835945183779,4.0,10.066666666666666,4.0
69,-0.20000000000000018,0.0,11.83986072582249,4.0,9.757575757575758,4.0
70,-0.19999999999999973,0.0,11.781989983664953,4.0,11.03225806451613,4.0
71,-0.20000000000000018,0.0,11.71495368115031,4.0,12.066666666666666,4.0
72,-0.21999999999999975,0.0,11.355221753885838,5.0,11.294117647058824,6.0
73,-0.17999999999999972,0.0,11.492106503720313,4.0,11.166666666666666,4.0
74,-0.23000000000000043,0.0,11.606936214538019,5.0,12.142857142857142,6.0
75,-0.17999999999999972,0.0,10.676269520891902,5.0,13.424242424242424,6.0
76,-0.33000000000000007,0.0,10.553615224188032,7.0,14.875,9.0
77,-0.14000000000000057,1.0,10.396299312031756,5.0,14.848484848484848,5.0
78,-0.25,0.0,11.033182179657503,5.0,15.606060606060606,5.0
79,-0.25,0.0,10.822720646500805,5.0,16.875,5.0
80,-0.2699999999999996,1.0,10.81949632258518,6.0,17.71875,7.0
81,-0.23000000000000043,0.0,10.72543805766813,5.0,17.87878787878788,5.0
82,-0.2999999999999998,0.0,10.619645787815044,6.0,17.714285714285715,7.0
83,-0.25,1.0,9.77237892536363,7.0,19.545454545454547,8.0
84,-0.34999999999999964,0.0,9.90482250890681,7.0,20.606060606060606,8.0
85,-0.23000000000000043,0.0,10.307392286909327,6.0,21.303030303030305,6.0
86,-0.2999999999999998,0.0,10.677536247973423,6.0,20.942857142857143,6.0
87,-0.2999999999999998,1.0,10.796327627507809,6.0,22.441176470588236,6.0
88,-0.2999999999999998,0.0,10.755355178568871,6.0,21.43243243243243,6.0
89,-0.3000000000000007,0.0,10.991149780702814,6.0,23.514285714285716,6.0
90,-0.3200000000000003,0.0,10.664383677417883,7.0,25.147058823529413,7.0
91,-0.34999999999999964,1.0,10.65911292550909,7.0,26.176470588235293,7.0
